flowStartMilliseconds,flowDurationMilliseconds,sourceIPAddress,destinationIPAddress,protocolIdentifier,packetTotalCount
1438318803259,0,201.126.50.225,82.174.249.209,1,1
1438318803259,0,201.126.50.225,68.246.193.222,1,1
1438318803259,0,201.126.50.225,126.7.233.49,1,1
1438318803259,0,201.126.50.225,198.10.235.6,1,1
1438318803259,0,201.126.50.225,48.217.203.105,1,1
1438318803260,0,117.186.184.166,201.126.50.225,1,1
1438318803260,0,214.34.208.49,134.215.207.21,6,1
1438318803260,0,201.126.50.225,168.244.126.203,1,1
1438318803260,0,81.48.145.137,201.126.60.249,17,1
1438318803260,0,84.76.80.131,201.126.50.225,1,1
1438318803260,0,67.57.124.199,182.55.73.208,6,1
1438318803260,0,201.126.50.225,71.235.204.130,1,1
1438318803260,0,201.126.50.225,83.5.245.130,1,1
1438318803260,0,201.126.50.225,74.200.84.168,1,1
1438318803260,0,209.75.174.243,201.126.50.225,1,1
1438318803260,0,20.213.44.78,201.126.125.17,6,1
1438318803260,0,150.173.203.247,15.232.198.150,6,1
1438318803260,0,105.193.189.49,201.126.50.225,1,1
1438318803260,0,201.126.50.225,24.32.238.235,1,1
1438318803260,0,201.126.50.225,1.66.86.3,1,1
1438318803260,0,201.126.50.225,22.204.238.167,1,1
1438318803260,0,201.126.50.225,95.84.193.16,1,1
1438318803260,0,15.174.181.183,182.55.239.197,6,1
1438318803260,0,201.126.43.34,220.53.187.239,6,4
1438318803260,0,109.102.1.51,201.126.50.225,1,1
1438318803260,0,5.42.105.110,145.182.64.166,6,1
1438318803260,0,201.126.50.225,160.111.19.158,1,1
1438318803260,0,201.126.50.225,107.186.210.245,1,1
1438318803260,0,201.126.50.225,199.158.160.125,1,1
1438318803260,0,201.126.50.225,92.46.39.72,1,1
1438318803260,0,209.149.137.52,134.138.170.171,6,1
1438318803260,0,167.235.237.176,145.182.129.92,6,1
1438318803260,0,201.126.50.225,111.130.150.226,1,1
1438318803260,0,102.26.144.187,134.215.207.21,6,1
1438318803260,0,175.118.10.60,136.67.78.198,6,1
1438318803260,0,201.126.50.225,51.140.209.118,1,1
1438318803260,0,201.126.50.225,16.52.78.67,1,1
1438318803260,0,201.126.50.225,157.156.213.237,1,1
1438318803260,0,86.87.45.75,201.126.50.225,1,1
1438318803260,0,201.126.50.225,9.216.210.17,1,1
1438318803260,0,201.126.50.225,183.11.167.99,1,1
1438318803260,0,56.45.119.249,201.126.50.225,1,1
1438318803260,0,201.126.50.225,125.194.148.197,1,1
1438318803260,0,123.202.66.27,145.182.64.166,6,1
1438318803261,0,201.126.50.225,105.155.244.236,1,1
1438318803261,0,104.73.226.40,201.126.34.115,17,1
1438318803261,0,214.213.13.17,134.215.207.21,6,1
1438318803261,0,29.210.45.243,201.126.43.205,17,1
1438318803261,0,201.126.50.225,135.90.207.222,1,1
1438318803261,0,20.213.44.78,201.126.63.72,6,1
1438318803261,0,201.126.60.249,81.48.145.137,17,1
1438318803261,0,86.178.33.47,201.126.50.225,1,1
1438318803261,0,77.47.44.24,201.126.50.225,1,1
1438318803261,0,201.126.50.225,173.71.99.212,1,1
1438318803261,0,201.126.50.225,163.61.134.165,1,1
1438318803261,0,201.126.33.80,216.221.167.251,1,13
1438318803261,0,148.187.199.154,201.126.33.80,1,1
1438318803261,0,201.126.50.225,102.41.222.86,1,1
1438318803261,0,201.126.50.225,111.53.231.246,1,1
1438318803261,0,88.237.12.126,201.126.50.225,1,1
1438318803261,0,201.126.34.115,104.73.226.40,1,1
1438318803261,0,0.102.139.249,145.5.144.206,6,1
1438318803261,0,103.25.53.67,182.55.158.27,6,1
1438318803261,0,216.234.228.201,201.126.50.225,1,1
1438318803261,0,42.18.135.88,201.126.50.225,1,1
1438318803262,0,201.220.220.128,201.126.33.80,1,1
